Region,ID,Species,State,ACTIVITY,LOCAL_QUALIFIER,nPlanted,nSurvived,Seedlot,Year_COMPLETED,FirstPlantingDate,LastPlantingDate,NurseryCode,SeedStock2023,SeedStockUnits,SeedLAT,SeedLONG,Elevation_PlantingLoc,PlantedElevation,SeedElevation,centroid_PlantingLoc,aet_Planting,aet_Seed,def_Planting,def_Seed,tmax_Planting,tmax_Seed,tmin_Planting,tmin_Seed,Elev_Diff,CWD_Diff,AET_Diff,Tmax_Diff,Tmin_Diff,centroid_PlantingLoc_LONG,centroid_PlantingLoc_LAT,GeographicalDistance_km
2,02SL151000000000000,PIPO,CO,NA,NA,10,NA,PP104920821401,NA,NA,NA,NA,38052,lbs,48.22374,-116.4121,2482.16,2482.16,711.67,"c(-105.465703000013, 39.9768539974259)",426.29998779296875,513.5,521.5,296.5,24.799999237060547,27.579999923706055,-10.079999923706055,-4.539999961853027,539.645352,225,-87.20001220703125,-2.780000686645508,-5.539999961853027,-105.465703000013,39.9768539974259,1265.8418337007377
2,02SL151000000000000,PIPO,CO,NA,NA,10,NA,PP1049208309,NA,NA,NA,NA,38052,lbs,48.22374,-116.4121,2482.16,2482.16,711.67,"c(-105.465703000013, 39.9768539974259)",426.29998779296875,513.5,521.5,296.5,24.799999237060547,27.579999923706055,-10.079999923706055,-4.539999961853027,539.645352,225,-87.20001220703125,-2.780000686645508,-5.539999961853027,-105.465703000013,39.9768539974259,1265.8418337007377
2,02SL151000000000000,PIPO,CO,NA,NA,10,NA,PP104920821401,NA,NA,NA,NA,38052,lbs,48.22374,-116.4121,2532.46,2532.46,711.67,"c(-105.470621999994, 39.9769869974347)",422.8999938964844,513.5,504.8999938964844,296.5,24.610000610351562,27.579999923706055,-10.210000038146973,-4.539999961853027,554.976792,208.39999389648438,-90.600006103515625,-2.969999313354492,-5.670000076293945,-105.470621999994,39.9769869974347,1265.5612662038075
2,02SL151000000000000,PIPO,CO,NA,NA,10,NA,PP1049208309,NA,NA,NA,NA,38052,lbs,48.22374,-116.4121,2532.46,2532.46,711.67,"c(-105.470621999994, 39.9769869974347)",422.8999938964844,513.5,504.8999938964844,296.5,24.610000610351562,27.579999923706055,-10.210000038146973,-4.539999961853027,554.976792,208.39999389648438,-90.600006103515625,-2.969999313354492,-5.670000076293945,-105.470621999994,39.9769869974347,1265.5612662038075
2,02SL151000000000000,PIPO,CO,NA,NA,10,NA,PP104920821401,NA,NA,NA,NA,38052,lbs,48.22374,-116.4121,2539.92,2539.92,711.67,"c(-105.465933999995, 39.9810509974387)",421.6000061035156,513.5,488.20001220703125,296.5,24.520000457763672,27.579999923706055,-10.300000190734863,-4.539999961853027,557.2506000000001,191.70001220703125,-91.899993896484375,-3.059999465942383,-5.760000228881836,-105.465933999995,39.9810509974387,1265.4708716716284
2,02SL151000000000000,PIPO,CO,NA,NA,10,NA,PP1049208309,NA,NA,NA,NA,38052,lbs,48.22374,-116.4121,2539.92,2539.92,711.67,"c(-105.465933999995, 39.9810509974387)",421.6000061035156,513.5,488.20001220703125,296.5,24.520000457763672,27.579999923706055,-10.300000190734863,-4.539999961853027,557.2506000000001,191.70001220703125,-91.899993896484375,-3.059999465942383,-5.760000228881836,-105.465933999995,39.9810509974387,1265.4708716716284
2,02SL151000000000000,PIPO,CO,NA,NA,10,NA,PP104920821401,NA,NA,NA,NA,38052,lbs,48.22374,-116.4121,2534.35,2534.35,711.67,"c(-105.468931999982, 39.9794059974116)",421.875,513.5,491.8500061035156,296.5,24.610000610351562,27.579999923706055,-10.240000009536743,-4.539999961853027,555.552864,195.35000610351562,-91.625,-2.969999313354492,-5.700000047683716,-105.468931999982,39.9794059974116,1265.4472013067202
2,02SL151000000000000,PIPO,CO,NA,NA,10,NA,PP1049208309,NA,NA,NA,NA,38052,lbs,48.22374,-116.4121,2534.35,2534.35,711.67,"c(-105.468931999982, 39.9794059974116)",421.875,513.5,491.8500061035156,296.5,24.610000610351562,27.579999923706055,-10.240000009536743,-4.539999961853027,555.552864,195.35000610351562,-91.625,-2.969999313354492,-5.700000047683716,-105.468931999982,39.9794059974116,1265.4472013067202
2,02SL151000000000000,PIPO,CO,NA,NA,10,NA,PP104920821401,NA,NA,NA,NA,38052,lbs,48.22374,-116.4121,2543.29,2543.29,711.67,"c(-105.470515000043, 39.9785239974327)",422.29998779296875,513.5,494.70001220703125,296.5,24.610000610351562,27.579999923706055,-10.199999809265137,-4.539999961853027,558.277776,198.20001220703125,-91.20001220703125,-2.969999313354492,-5.659999847412109,-105.470515000043,39.9785239974327,1265.4358730173706
2,02SL151000000000000,PIPO,CO,NA,NA,10,NA,PP1049208309,NA,NA,NA,NA,38052,lbs,48.22374,-116.4121,2543.29,2543.29,711.67,"c(-105.470515000043, 39.9785239974327)",422.29998779296875,513.5,494.70001220703125,296.5,24.610000610351562,27.579999923706055,-10.199999809265137,-4.539999961853027,558.277776,198.20001220703125,-91.20001220703125,-2.969999313354492,-5.659999847412109,-105.470515000043,39.9785239974327,1265.4358730173706
2,02SL151000000000000,PIPO,CO,NA,NA,10,NA,PP104920821401,NA,NA,NA,NA,38052,lbs,48.22374,-116.4121,2542.84,2542.84,711.67,"c(-105.473358999986, 39.9770279974287)",420.0749969482422,513.5,495.7750015258789,296.5,24.510000228881836,27.579999923706055,-10.207499742507935,-4.539999961853027,558.140616,199.2750015258789,-93.42500305175781,-3.0699996948242188,-5.667499780654907,-105.473358999986,39.9770279974287,1265.4079988404596
